sample_id,question,answer,context,ticker,filing,answer_type
0,How much did the total operating lease assets amount to at the end of the year 2022?,$4.4 billion,"For the years ended December 31, 2022 and 2023, we recognized total operating lease assets of $4.4 billion and $2.9 billion, respectively.",GOOGL,2023_10K,numeric
1,What are the restructuring targets of the company's Board of Directors as of 2023?,"The restructuring targets for 2023 focus on prioritizing investments in key growth areas and optimizing the real estate portfolio, which include significant actions like reducing headcount and office space.","In March 2023, the Board of Directors sanctioned a restructuring plan concentrated on investment prioritization towards significant growth prospects and the optimization of the company's real estate assets. This includes substantial organizational changes such as reductions in office space and workforce.",EA,2023_10K,long_text
2,What is the significance of Note 13 in the context of legal proceedings described in the Annual Report on Form 10-K?,Note 13 is significant because it contains a detailed description of the company's significant pending legal proceedings.,"For a description of our significant pending legal proceedings, see Note 13 titled Commitments and Contingencies - Legal Proceedings of the Notes to Consolidated Financial Statements included in Part II, Item 8 of this Annual Report on Form 10-K.",GILD,2023_10K,long_text
3,How many employees does Johnson & Johnson and its subsidiaries have worldwide?,"Approximately 131,900 employees","Johnson & Johnson and its subsidiaries have approximately 131,900 employees worldwide engaged in the research and development, manufacture and sale of a broad range of products in the healthcare field.",JNJ,2023_10K,short_text
4,How does IBM's service and product offerings in the tech sector stand out from competitors?,"IBM offers a unique blend of software and consulting services that are distinguished by innovation, global reach, deep industry expertise, and a robust research foundation.","The depth, breadth, and innovation of our software offerings, coupled with our global reach, deep industry expertise and research capabilities help differentiate our offerings from our competitors.",IBM,2023_10K,long_text
5,What was AMC's cash and cash equivalents at the end of 2023?,"At the end of 2023, AMC had cash and cash equivalents of approximately $884.3 million.","At December 31, 20253, AMC had cash and cash equivalents of approximately $884.3 million.",AMC,2023_10K,long_text
6,How might future market volatility affect the company's costs associated with issuing commercial paper?,Future volatility may increase the costs associated with issuing commercial paper or other debt instruments.,Future volatility may increase costs associated with issuing commercial paper or other debt instruments or affect the company's ability to access those markets.,NKE,2023_10K,long_text
7,What are the proposed effective dates for implementing the Basel III frameworks in the EU and U.K.?,"January 1, 2025, in the EU and July 1, 2025, in the U.K.","The EU and U.K. regulators have largely finalized the rules implementing their Basel III frameworks, with proposed effective dates of January 1, 2025, in the EU and July 1, 2025, in the U.K.",JPM,2023_10K,short_text
8,What types of companies form the origins of the described global technology leader?,"The described global technology leader originated from Hewlett-Packard Company, AT&T, LSI Corporation, Broadcom Corporation, Brocade Communications Systems LLC, CA, Inc., Symantec Enterprise Security, and VMware, Inc.","Our over 50-year history of innovation dates back to our diverse origins from Hewlett-Packard Company, AT&T, LSI Corporation, Broadcom Corporation, Brocade Communications Systems LLC, CA, Inc., Symantec Enterprise Security, and VMware, Inc.",AVGO,2023_10K,long_text
9,"What were the Company's effective income tax rates for the years 2020, 2021, and 2022?","The effective income tax rates for the Company were 23.2% in 2020, 18.8% in 2021, and 22.5% in 2022.","The Company's effective income tax rates were stated as 22.5% for the year 2022, 18.8% for 2021, and 23.2% for 2020. These variations in tax rates were due to factors like state income taxes, non-deductible goodwill impairment charges, share-based payments, and the utilization of tax credits.",KR,2023_10K,long_text
10,What was the increase in interest income from 2022 to 2023?,"$458 million, or 102%","Interest income was $907 million in 2023, compared to $449 million in 2022, an increase of $458 million, or 102%.",KO,2023_10K,short_text
